市場,銘柄,月足_直近,月足_前月,週足_直近,週足_前週,日足_直近,日足_前日
米国株,AAPL,-,-,-,-,-,-
米国株,MSFT,-,▲,-,▲,-,-
米国株,GOOGL,-,▼,-,-,-,-
米国株,AMZN,-,▼,-,-,-,-
米国株,NVDA,▲,▲,-,-,-,-
米国株,META,▲,-,▲,▲,-,-
米国株,TSLA,-,▲,▲,-,-,-
米国株,BRK-B,-,-,-,-,-,-
米国株,UNH,-,▼,-,-,-,-
米国株,JNJ,-,-,-,-,-,-
米国株,JPM,-,-,-,-,-,-
米国株,XOM,-,-,-,-,-,-
米国株,V,-,-,-,-,-,-
米国株,PG,-,-,-,-,-,-
米国株,MA,-,-,-,-,-,-
米国株,HD,-,-,-,-,-,-
米国株,CVX,-,▲,-,-,-,-
米国株,MRK,-,▲,-,-,-,-
米国株,ABBV,-,-,-,-,-,-
米国株,PEP,-,-,-,-,-,-
米国株,COST,-,-,-,-,-,-
米国株,ADBE,-,▲,-,▲,-,-
米国株,MCD,-,-,-,-,-,-
米国株,WMT,-,▼,▲,-,-,-
米国株,CSCO,-,-,-,-,-,-
米国株,ACN,-,▲,-,-,-,-
米国株,TMO,-,▲,-,-,-,-
米国株,ABT,-,-,-,-,-,-
米国株,DHR,-,▲,-,-,-,-
米国株,NFLX,-,▲,-,-,-,-
米国株,AMD,-,-,-,-,-,-
米国株,DIS,-,▲,-,-,-,-
米国株,ORCL,-,▲,-,-,-,-
米国株,INTC,▲,-,-,-,-,-
米国株,CMCSA,-,▲,-,-,-,-
米国株,PFE,-,▲,-,-,-,-
米国株,AMGN,-,▲,-,-,-,-
米国株,TXN,-,-,-,-,-,-
米国株,HON,-,▼,-,-,-,-
米国株,IBM,-,-,-,-,-,-
米国株,QCOM,-,▲,-,-,-,-
米国株,GE,-,▼,-,-,-,-
米国株,CAT,-,-,-,-,-,-
米国株,BA,-,▼,-,-,-,-
米国株,SBUX,-,-,-,-,-,-
米国株,GS,-,-,-,-,-,-
米国株,MS,-,-,-,-,-,-
米国株,BLK,-,▲,-,-,-,-
米国株,NOW,-,▲,-,▲,-,-
米国株,INTU,-,▲,-,-,-,-
米国株,ISRG,-,-,-,-,-,-
米国株,BKNG,-,-,-,-,-,-
日本株,7203,-,▲,-,-,-,-
日本株,8306,-,-,-,-,-,-
日本株,6758,-,▲,-,-,-,-
日本株,9984,▲,-,▲,-,▲,-
日本株,6861,▼,-,▼,-,-,-
日本株,7267,-,▲,-,-,-,-
日本株,8035,-,-,-,-,-,-
日本株,9432,-,▲,-,-,-,-
日本株,6501,-,-,-,▲,-,-
日本株,7751,-,▲,-,-,-,-
日本株,8316,-,-,-,-,-,-
日本株,6098,▼,▲,-,▲,-,-
日本株,4063,-,-,-,-,-,-
日本株,8058,-,-,-,-,-,-
日本株,8031,-,-,-,-,-,-
日本株,3382,-,-,-,-,-,-
日本株,6367,-,▼,-,-,-,-
日本株,4568,-,▲,-,-,-,-
日本株,6920,-,▼,-,-,-,▲
日本株,6902,-,-,-,-,-,-
日本株,7974,-,▲,-,-,-,-
日本株,9020,-,-,-,-,-,-
日本株,2914,-,-,-,-,-,-
日本株,4519,-,-,-,-,-,-
日本株,6503,-,-,-,-,-,-
日本株,6981,-,-,-,▲,-,-
日本株,8001,▲,▲,-,-,-,-
日本株,8002,-,-,-,-,-,-
日本株,8591,-,-,-,-,-,-
日本株,8766,-,-,-,▲,-,-
日本株,9101,-,▲,-,-,-,-
日本株,9104,-,▲,-,-,▼,-
